Dormitorios,Banos,Piso,Estado_ocupacion,Area_m2,Ciudad,Ubicacion,Precio_Takas,Categoria_precio,Precio_por_m2
3,4,3,vacant,1960.0,Dhaka,"Gulshan 1, Gulshan",39000000,Alto,19898.0
3,3,1,vacant,1705.0,Dhaka,"Lake Circus Road, Kalabagan",16900000,Alto,9912.0
3,3,6,vacant,1370.0,Dhaka,"Shukrabad, Dhanmondi",12500000,Medio,9124.0
3,3,4,vacant,2125.0,Dhaka,"Block L, Bashundhara R-A",20000000,Alto,9412.0
3,3,4,vacant,2687.0,Dhaka,"Road No 25, Banani",47500000,Alto,17678.0
3,3,3,vacant,1150.0,Dhaka,"Middle Badda, Badda",8800000,Medio,7652.0
3,3,8,vacant,2119.0,Dhaka,"Block B, Bashundhara R-A",19000000,Alto,8966.0
4,4,2,vacant,2318.0,Dhaka,"Block D, Bashundhara R-A",23000000,Alto,9922.0
3,3,8,vacant,1397.0,Dhaka,"Matuail, Demra",8000000,Medio,5727.0
3,3,1,vacant,2400.0,Dhaka,"Block H, Aftab Nagar",20000000,Alto,8333.0
3,3,3,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,4,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,6,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,1,vacant,1900.0,Dhaka,"Block B, Bashundhara R-A",21000000,Alto,11053.0
3,3,5,vacant,1500.0,Dhaka,"Block H, Aftab Nagar",11000000,Medio,7333.0
3,3,3,vacant,1450.0,Dhaka,"Sector 10, Uttara",9500000,Medio,6552.0
2,2,2,vacant,750.0,Dhaka,"Sector 10, Uttara",6200000,Medio,8267.0
3,3,4,vacant,2343.0,Dhaka,"Sector 6, Uttara",22000000,Alto,9390.0
3,3,5,vacant,1185.0,Dhaka,"Lake Circus Road, Kalabagan",11000000,Medio,9283.0
3,3,4,vacant,1610.0,Dhaka,"Block H, Bashundhara R-A",13100000,Alto,8137.0
4,4,7,vacant,2180.0,Dhaka,"Block J, Bashundhara R-A",17500000,Alto,8028.0
4,4,2,vacant,3650.0,Dhaka,"Gulshan 2, Gulshan",78000000,Alto,21370.0
3,3,3,vacant,2700.0,Dhaka,"Gulshan 1, Gulshan",55000000,Alto,20370.0
3,2,2,vacant,1175.0,Dhaka,"Baitul Aman Housing Society, Adabor",8300000,Medio,7064.0
2,2,1,vacant,650.0,Dhaka,"Section 6, Mirpur",3100000,Bajo,4769.0
3,4,1,vacant,1331.0,Dhaka,"Sector 4, Uttara",16000000,Alto,12021.0
2,2,4,vacant,900.0,Dhaka,"Nobodoy Housing Society, Mohammadpur",4500000,Bajo,5000.0
3,3,2,vacant,1350.0,Dhaka,"Free School Street, Kathalbagan",14200000,Alto,10519.0
3,3,5,vacant,1200.0,Dhaka,"Pallabi, Mirpur",7500000,Medio,6250.0
3,3,1,vacant,2045.0,Dhaka,"Sector 7, Uttara",23625000,Alto,11553.0
3,3,1,vacant,1500.0,Dhaka,"Block C, Niketan",25000000,Alto,16667.0
3,3,4,vacant,1410.0,Dhaka,"Vashani Goli, Shantinagar",13800000,Alto,9787.0
2,2,5,vacant,650.0,Dhaka,"Gandaria, Sutrapur",4000000,Bajo,6154.0
3,3,8,vacant,1100.0,Dhaka,"Dhaka Uddan, Mohammadpur",4700000,Bajo,4273.0
3,2,2,vacant,1220.0,Dhaka,"West Shewrapara, Mirpur",5000000,Bajo,4098.0
3,3,5,vacant,1240.0,Dhaka,"Section 1, Mirpur",7320000,Medio,5903.0
3,3,5,vacant,1700.0,Dhaka,"South Chalabon, Dakshin Khan",6500000,Medio,3824.0
3,3,1,vacant,1400.0,Dhaka,"West Agargaon, Agargaon",8500000,Medio,6071.0
3,3,1,vacant,1050.0,Dhaka,"Section 6, Mirpur",4700000,Bajo,4476.0
3,3,8,vacant,1240.0,Dhaka,"Dakkhin Paikpara, Mirpur",8700000,Medio,7016.0
3,3,1,vacant,1504.0,Dhaka,Keraniganj,7100000,Medio,4721.0
