Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,Price_in_taka
,3.0,4.0,3.0,vacant,1960.0,dhaka,"Gulshan 1, Gulshan","৳39,000,000"
,3.0,3.0,1.0,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan","৳16,900,000"
,3.0,3.0,6.0,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi","৳12,500,000"
,3.0,3.0,4.0,vacant,2125.0,dhaka,"Block L, Bashundhara R-A","৳20,000,000"
,3.0,3.0,4.0,vacant,2687.0,dhaka,"Road No 25, Banani","৳47,500,000"
,3.0,3.0,3.0,vacant,1150.0,dhaka,"Middle Badda, Badda","৳8,800,000"
,3.0,3.0,8.0,vacant,2119.0,dhaka,"Block B, Bashundhara R-A","৳19,000,000"
,4.0,4.0,2.0,vacant,2318.0,dhaka,"Block D, Bashundhara R-A","৳23,000,000"
,3.0,3.0,8.0,vacant,1397.0,dhaka,"Matuail, Demra","৳8,000,000"
,3.0,3.0,1.0,vacant,2400.0,dhaka,"Block H, Aftab Nagar","৳20,000,000"
,3.0,3.0,3.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,4.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,6.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,1.0,vacant,1900.0,dhaka,"Block B, Bashundhara R-A","৳21,000,000"
,3.0,3.0,5.0,vacant,1500.0,dhaka,"Block H, Aftab Nagar","৳11,000,000"
,3.0,3.0,3.0,vacant,1450.0,dhaka,"Sector 10, Uttara","৳9,500,000"
,2.0,2.0,2.0,vacant,750.0,dhaka,"Sector 10, Uttara","৳6,200,000"
,3.0,3.0,4.0,vacant,2343.0,dhaka,"Sector 6, Uttara","৳22,000,000"
,3.0,3.0,5.0,vacant,1185.0,dhaka,"Lake Circus Road, Kalabagan","৳11,000,000"
,3.0,3.0,4.0,vacant,1610.0,dhaka,"Block H, Bashundhara R-A","৳13,100,000"
,4.0,4.0,7.0,vacant,2180.0,dhaka,"Block J, Bashundhara R-A","৳17,500,000"
,4.0,4.0,2.0,vacant,3650.0,dhaka,"Gulshan 2, Gulshan","৳78,000,000"
,3.043068640646029,2.89771197846568,9.0,vacant,5000.0,dhaka,"Free School Street, Kathalbagan","৳110,000,000"
,3.0,3.0,3.0,vacant,2700.0,dhaka,"Gulshan 1, Gulshan","৳55,000,000"
,3.0,2.0,2.0,vacant,1175.0,dhaka,"Baitul Aman Housing Society, Adabor","৳8,300,000"
,2.0,2.0,1.0,vacant,650.0,dhaka,"Section 6, Mirpur","৳3,100,000"
,3.0,4.0,1.0,vacant,1331.0,dhaka,"Sector 4, Uttara","৳16,000,000"
