City,Location,Bedrooms,Bathrooms,Floor_no,Floor_area,Occupancy_status,Price_in_taka
dhaka,"Gulshan 1, Gulshan",3.0,4.0,3,1960.0,vacant,39000000
dhaka,"Lake Circus Road, Kalabagan",3.0,3.0,1,1705.0,vacant,16900000
dhaka,"Shukrabad, Dhanmondi",3.0,3.0,6,1370.0,vacant,12500000
dhaka,"Block L, Bashundhara R-A",3.0,3.0,4,2125.0,vacant,20000000
dhaka,"Road No 25, Banani",3.0,3.0,4,2687.0,vacant,47500000
dhaka,"Middle Badda, Badda",3.0,3.0,3,1150.0,vacant,8800000
dhaka,"Block B, Bashundhara R-A",3.0,3.0,8,2119.0,vacant,19000000
dhaka,"Block D, Bashundhara R-A",4.0,4.0,2,2318.0,vacant,23000000
dhaka,"Matuail, Demra",3.0,3.0,8,1397.0,vacant,8000000
dhaka,"Block H, Aftab Nagar",3.0,3.0,1,2400.0,vacant,20000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,3,1300.0,vacant,8000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,4,1300.0,vacant,8000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,6,1300.0,vacant,8000000
dhaka,"Block B, Bashundhara R-A",3.0,3.0,1,1900.0,vacant,21000000
dhaka,"Block H, Aftab Nagar",3.0,3.0,5,1500.0,vacant,11000000
dhaka,"Sector 10, Uttara",3.0,3.0,3,1450.0,vacant,9500000
dhaka,"Sector 10, Uttara",2.0,2.0,2,750.0,vacant,6200000
dhaka,"Sector 6, Uttara",3.0,3.0,4,2343.0,vacant,22000000
dhaka,"Lake Circus Road, Kalabagan",3.0,3.0,5,1185.0,vacant,11000000
dhaka,"Block H, Bashundhara R-A",3.0,3.0,4,1610.0,vacant,13100000
dhaka,"Block J, Bashundhara R-A",4.0,4.0,7,2180.0,vacant,17500000
dhaka,"Gulshan 2, Gulshan",4.0,4.0,2,3650.0,vacant,78000000
dhaka,"Free School Street, Kathalbagan",3.0430686406460294,2.8977119784656797,9,5000.0,vacant,110000000
dhaka,"Gulshan 1, Gulshan",3.0,3.0,3,2700.0,vacant,55000000
dhaka,"Baitul Aman Housing Society, Adabor",3.0,2.0,2,1175.0,vacant,8300000
dhaka,"Section 6, Mirpur",2.0,2.0,1,650.0,vacant,3100000
dhaka,"Sector 4, Uttara",3.0,4.0,1,1331.0,vacant,16000000
dhaka,"Nobodoy Housing Society, Mohammadpur",2.0,2.0,4,900.0,vacant,4500000
dhaka,"Free School Street, Kathalbagan",3.0,3.0,2,1350.0,vacant,14200000
dhaka,"Pallabi, Mirpur",3.0,3.0,5,1200.0,vacant,7500000
dhaka,"Sector 7, Uttara",3.0,3.0,1,2045.0,vacant,23625000
dhaka,"Block C, Niketan",3.0,3.0,1,1500.0,vacant,25000000
dhaka,"Vashani Goli, Shantinagar",3.0,3.0,4,1410.0,vacant,13800000
dhaka,"Gandaria, Sutrapur",2.0,2.0,5,650.0,vacant,4000000
dhaka,"Dhaka Uddan, Mohammadpur",3.0,3.0,8,1100.0,vacant,4700000
dhaka,"West Shewrapara, Mirpur",3.0,2.0,2,1220.0,vacant,5000000
dhaka,"Section 1, Mirpur",3.0,3.0,5,1240.0,vacant,7320000
dhaka,"South Chalabon, Dakshin Khan",3.0,3.0,5,1700.0,vacant,6500000
dhaka,"West Agargaon, Agargaon",3.0,3.0,1,1400.0,vacant,8500000
dhaka,"Section 6, Mirpur",3.0,3.0,1,1050.0,vacant,4700000
dhaka,"Section 12, Mirpur",3.0430686406460294,2.8977119784656797,6,16000.0,vacant,120000000
dhaka,"Dakkhin Paikpara, Mirpur",3.0,3.0,8,1240.0,vacant,8700000
dhaka,Keraniganj,3.0,3.0,1,1504.0,vacant,7100000
dhaka,"Kadamtali, Shyampur",2.0,2.0,5,750.0,vacant,4000000
dhaka,"Kadamtali, Shyampur",2.0,2.0,7,750.0,vacant,3500000
dhaka,"Section 11, Mirpur",3.0430686406460294,2.8977119784656797,1,1980.0,vacant,18000000
dhaka,"Block C, Aftab Nagar",3.0,5.0,2,1585.0,vacant,14000000
dhaka,"Jahuri Moholla, Mohammadpur",3.0,3.0,8,1485.0,vacant,13200000
dhaka,"Section 2, Mirpur",3.0,3.0,5,1545.0,vacant,14000000
dhaka,"Kallyanpur, Mirpur",3.0,3.0,6,1050.0,vacant,8200000
dhaka,"East Shewrapara, Mirpur",16.0,10.0,1,5600.0,vacant,32500000
dhaka,"West Rampura, Rampura",2.0,2.0,5,900.0,vacant,4100000
dhaka,"Madhya Ajampur, Dakshin Khan",3.0,3.0,3,1340.0,vacant,6200000
dhaka,"Mohammadia Housing Society, Mohammadpur",3.0,3.0,7,1400.0,vacant,11500000
dhaka,"Uttar Badda, Badda",3.0,3.0,3,1275.0,vacant,8000000
dhaka,"Block C, Niketan",3.0430686406460294,2.8977119784656797,3,1245.0,vacant,15500000
dhaka,"North Ibrahimpur, Ibrahimpur",2.0,2.0,5,1050.0,vacant,4800000
dhaka,"Dakhshin Para, Mohakhali",2.0,2.0,5,850.0,vacant,5500000
dhaka,"West Agargaon, Agargaon",3.0,4.0,2,1440.0,vacant,7300000
dhaka,"Sector 11, Uttara",2.0,3.0,5,948.0,vacant,7000000
dhaka,"Gulshan 1, Gulshan",4.0,4.0,5,2644.0,vacant,35000000
dhaka,"North Circular Road, Dhanmondi",2.0,2.0,6,800.0,vacant,6950000
dhaka,"Block B, Bashundhara R-A",4.0,4.0,5,2000.0,vacant,22000000
dhaka,"Block B, Lalmatia",3.0,3.0,4,1593.0,vacant,21500000
dhaka,"West Shewrapara, Mirpur",3.0,2.0,6,1220.0,vacant,5000000
dhaka,"Section 15, Mirpur",2.0,2.0,1,1040.0,vacant,6500000
dhaka,"Block C, Khilgaon",3.0,3.0,4,1620.0,vacant,16500000
dhaka,"Block I, Bashundhara R-A",3.0,3.0,4,1550.0,vacant,14500000
dhaka,"Pallabi, Mirpur",2.0,2.0,5,1000.0,vacant,5500000
dhaka,"Hatir Jheel Link Road, Tejgaon",3.0430686406460294,2.8977119784656797,3,1840.0,vacant,46000000
dhaka,"Pirerbag, Mirpur",2.0,2.0,2,740.0,vacant,4000000
dhaka,"Section 10, Mirpur",3.0,3.0,6,1250.0,vacant,7800000
dhaka,"Block J, Bashundhara R-A",3.0,3.0,5,1430.0,vacant,12000000
dhaka,"Boro Maghbazar, Maghbazar",3.0,3.0,1,1690.0,vacant,14800000
dhaka,"Block B, Banasree",3.0,3.0,1,1330.0,vacant,7900000
dhaka,"East Shewrapara, Mirpur",3.0,3.0,2,1230.0,vacant,7400000
dhaka,"Sector 7, Uttara",3.0,3.0,7,1700.0,vacant,17000000
dhaka,"Sector 10, Uttara",3.0,3.0,6,1300.0,vacant,8000000
dhaka,"Pirerbag, Mirpur",3.0,2.0,6,1175.0,vacant,6300000
dhaka,"East Monipur, Mirpur",3.0,3.0,6,1265.0,vacant,8500000
dhaka,"Pirerbag, Mirpur",3.0,2.0,7,1000.0,vacant,5700000
dhaka,"Pallabi, Mirpur",3.0,3.0,1,1554.0,vacant,11500000
dhaka,"Imandipur, Savar",3.0,3.0,8,1570.0,vacant,5600000
dhaka,"East Monipur, Mirpur",3.0,2.0,5,1050.0,vacant,4500000
dhaka,"East Monipur, Mirpur",2.0,2.0,6,815.0,vacant,4200000
dhaka,"Sector 5, Uttara",4.0,5.0,7,2553.0,vacant,38000000
dhaka,"Block B, Banasree",3.0,3.0,6,1590.0,vacant,11200000
dhaka,"Block A, Banasree",4.0,4.0,4,2000.0,vacant,21500000
dhaka,"Block J, Bashundhara R-A",2.0,2.0,4,800.0,vacant,8600000
dhaka,"Gulshan 1, Gulshan",3.0,4.0,3,1960.0,vacant,39000000
dhaka,"Lake Circus Road, Kalabagan",3.0,3.0,1,1705.0,vacant,16900000
dhaka,"Shukrabad, Dhanmondi",3.0,3.0,6,1370.0,vacant,12500000
dhaka,"Block L, Bashundhara R-A",3.0,3.0,4,2125.0,vacant,20000000
dhaka,"Road No 25, Banani",3.0,3.0,4,2687.0,vacant,47500000
dhaka,"Middle Badda, Badda",3.0,3.0,3,1150.0,vacant,8800000
dhaka,"Block B, Bashundhara R-A",3.0,3.0,8,2119.0,vacant,19000000
dhaka,"Block D, Bashundhara R-A",4.0,4.0,2,2318.0,vacant,23000000
dhaka,"Matuail, Demra",3.0,3.0,8,1397.0,vacant,8000000
dhaka,"Block H, Aftab Nagar",3.0,3.0,1,2400.0,vacant,20000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,3,1300.0,vacant,8000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,4,1300.0,vacant,8000000
dhaka,"West Dolairpar, Shyampur",3.0,3.0,6,1300.0,vacant,8000000
dhaka,"Block B, Bashundhara R-A",3.0,3.0,1,1900.0,vacant,21000000
dhaka,"Block H, Aftab Nagar",3.0,3.0,5,1500.0,vacant,11000000
dhaka,"Sector 10, Uttara",3.0,3.0,3,1450.0,vacant,9500000
dhaka,"Sector 10, Uttara",2.0,2.0,2,750.0,vacant,6200000
dhaka,"Sector 6, Uttara",3.0,3.0,4,2343.0,vacant,22000000
dhaka,"Free School Street, Kathalbagan",3.0,3.0,2,1350.0,vacant,14200000
dhaka,"Pallabi, Mirpur",3.0,3.0,5,1200.0,vacant,7500000
dhaka,"Sector 7, Uttara",3.0,3.0,1,2045.0,vacant,23625000
dhaka,"Block C, Niketan",3.0,3.0,1,1500.0,vacant,25000000
dhaka,"Vashani Goli, Shantinagar",3.0,3.0,4,1410.0,vacant,13800000
dhaka,"Gandaria, Sutrapur",2.0,2.0,5,650.0,vacant,4000000
dhaka,"Lake Circus Road, Kalabagan",3.0,3.0,5,1185.0,vacant,11000000
dhaka,"Block H, Bashundhara R-A",3.0,3.0,4,1610.0,vacant,13100000
dhaka,"Block J, Bashundhara R-A",4.0,4.0,7,2180.0,vacant,17500000
dhaka,"Gulshan 2, Gulshan",4.0,4.0,2,3650.0,vacant,78000000
dhaka,"Free School Street, Kathalbagan",3.0430686406460294,2.8977119784656797,9,5000.0,vacant,110000000
dhaka,"Gulshan 1, Gulshan",3.0,3.0,3,2700.0,vacant,55000000
